Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,,Opposition,Ground,Start Date
38,88,47,5,0,80.85,3,caught,1,,v England,Birmingham,30-Jul-09
5,6,7,0,0,71.42,3,bowled,3,,v England,Birmingham,30-Jul-09
78,119,101,12,1,77.22,3,lbw,2,,v England,Leeds,7-Aug-09
8,20,15,1,0,53.33,3,bowled,2,,v England,The Oval,20-Aug-09
66,157,103,10,0,64.07,3,run out,4,,v England,The Oval,20-Aug-09
55,121,79,8,1,69.62,3,caught,1,,v West Indies,Brisbane,26-Nov-09
36,88,73,3,0,49.31,3,caught,2,,v West Indies,Adelaide,4-Dec-09
20,57,34,3,1,58.82,3,bowled,4,,v West Indies,Adelaide,4-Dec-09
23*,44,25,2,1,92,3,retired notout,1,,v West Indies,Perth,16-Dec-09
2,14,6,0,0,33.33,9,caught,3,,v West Indies,Perth,16-Dec-09
57,100,60,7,0,95,3,caught,1,,v Pakistan,Melbourne,26-Dec-09
12,18,14,2,0,85.71,3,caught,3,,v Pakistan,Melbourne,26-Dec-09
0,1,1,0,0,0,3,caught,1,,v Pakistan,Sydney,3-Jan-10
11,36,21,0,0,52.38,3,caught,3,,v Pakistan,Sydney,3-Jan-10
209,523,354,25,0,59.03,3,caught,1,,v Pakistan,Hobart,14-Jan-10
89,188,122,12,0,72.95,3,caught,3,,v Pakistan,Hobart,14-Jan-10
41,123,86,5,0,47.67,3,run out,1,,v New Zealand,Wellington,19-Mar-10
DNB,-,-,-,-,-,-,-,4,,v New Zealand,Wellington,19-Mar-10
22,62,47,4,0,46.8,3,run out,1,,v New Zealand,Hamilton,27-Mar-10
6,8,4,0,1,150,3,caught,3,,v New Zealand,Hamilton,27-Mar-10
26,66,39,4,0,66.66,3,caught,1,,v Pakistan,Lord's,13-Jul-10
0,9,6,0,0,0,3,lbw,3,,v Pakistan,Lord's,13-Jul-10
6,40,21,0,0,28.57,3,lbw,1,,v Pakistan,Leeds,21-Jul-10
66,173,116,7,0,56.89,3,caught,3,,v Pakistan,Leeds,21-Jul-10
71,154,124,10,0,57.25,3,run out,1,,v India,Mohali,1-Oct-10
4,4,4,1,0,100,3,caught,3,,v India,Mohali,1-Oct-10
77,204,147,12,0,52.38,3,lbw,1,,v India,Bangalore,9-Oct-10
72,170,117,7,1,61.53,3,lbw,3,,v India,Bangalore,9-Oct-10
10,34,26,1,0,38.46,3,caught,2,,v England,Brisbane,25-Nov-10
51*,96,43,4,1,118.6,3,not out,4,,v England,Brisbane,25-Nov-10
0,2,1,0,0,0,3,caught,1,,v England,Adelaide,3-Dec-10
9,21,19,2,0,47.36,3,caught,3,,v England,Adelaide,3-Dec-10
12,11,10,3,0,120,3,caught,1,,v England,Perth,16-Dec-10
1,17,9,0,0,11.11,3,caught,3,,v England,Perth,16-Dec-10
10,52,38,2,0,26.31,3,caught,1,,v England,Melbourne,26-Dec-10
